Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /jserrors/1/32cd0417b6?a=958391474&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MEwZTDVUPU1dSUhcLDA8Q&rst=730787&ck=1&ref=https://www.netshoes.com.br/recommendations-1,153",1,187,187,187,0.00,0.000%,5.34759,2.13,5.23,407.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /events/1/32cd0417b6?a=853720371&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01M&rst=736971&ck=1&ref=https://www.netshoes.com.br/-1,154",1,189,189,189,0.00,0.000%,5.29101,2.10,3.34,407.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /busca/infantil-avengers-1,155",1,45,45,45,0.00,0.000%,22.22222,1174.93,15.78,54141.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/seller/quick-links/all/quick-links.min.css-1,156",1,16,16,16,0.00,0.000%,62.50000,103.52,37.84,1696.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/breadcrumb/all/breadcrumb.min.css-1,157",1,17,17,17,0.00,0.000%,58.82353,90.88,35.10,1582.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/search/filters/filter-3/all/mini-search/mini-search.min.css-1,158",1,15,15,15,0.00,0.000%,66.66667,53.91,41.47,828.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/rating/stars/all/stars.min.css-1,159",1,16,16,16,0.00,0.000%,62.50000,97.60,37.11,1599.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/accordion/all/accordion.min.css-1,163",1,16,16,16,0.00,0.000%,62.50000,138.67,37.17,2272.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_templates/item/item-5/desktop/item.min.css-1,162",1,30,30,30,0.00,0.000%,33.33333,84.73,19.82,2603.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/search/pagination/desktop/pagination.min.css-1,164",1,16,16,16,0.00,0.000%,62.50000,112.79,37.96,1848.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/search/filters/filter-4/desktop/filter-4.min.css-1,160",1,17,17,17,0.00,0.000%,58.82353,213.52,35.96,3717.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_templates/search/list-4/desktop/list.min.css-1,165",1,15,15,15,0.00,0.000%,66.66667,142.97,39.78,2196.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /v4/fullHashes:find-1,161",1,180,180,180,0.00,0.000%,5.55556,3.80,3.61,700.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_templates/search/search-4/desktop/search.min.css-1,166",1,16,16,16,0.00,0.000%,62.50000,101.99,37.54,1671.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/free-delivery-2/all/free-delivery.min.css-1,167",1,15,15,15,0.00,0.000%,66.66667,151.04,40.30,2320.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/product/ncard/all/ncard-hint-search.min.css-1,168",1,17,17,17,0.00,0.000%,58.82353,88.24,35.67,1536.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/stamp/all/badges.min.css-1,169",1,16,16,16,0.00,0.000%,62.50000,114.81,36.74,1881.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/search/filters/filter-4/all/quick-filters/quick-filters.min.css-1,172",1,15,15,15,0.00,0.000%,66.66667,155.08,41.73,2382.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/search/suggestions/all/suggestions.min.css-1,173",1,16,16,16,0.00,0.000%,62.50000,98.94,37.84,1621.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_themes/theme-1/search/all/index.min.css-1,170",1,16,16,16,0.00,0.000%,62.50000,85.14,36.99,1395.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/stamp/all/discount.min.css-1,171",1,33,33,33,0.00,0.000%,30.30303,71.94,17.87,2431.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/search/filters/filter-free-shipping/all/filter-free-shipping.min.css-1,174",1,47,47,47,0.00,0.000%,21.27660,40.97,13.42,1972.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/search/no-result-modal/all/no-result-modal.min.css-1,175",1,21,21,21,0.00,0.000%,47.61905,87.05,29.20,1872.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/_behavior/wishlist/all/wishlist.min.css-1,176",1,19,19,19,0.00,0.000%,52.63158,66.00,31.71,1284.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/product/thumbs/desktop/thumbs.min.css-1,179",1,19,19,19,0.00,0.000%,52.63158,93.96,31.61,1828.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_templates/product/photo/photo-1/desktop/photo-1.min.css-1,177",1,23,23,23,0.00,0.000%,43.47826,118.59,26.41,2793.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/_behavior/lazy-load/all/lazy-price-items-template.min.css-1,178",1,18,18,18,0.00,0.000%,55.55556,85.07,34.45,1568.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/free-delivery/all/free-delivery.min.css-1,180",1,16,16,16,0.00,0.000%,62.50000,92.90,37.66,1522.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/product/price/desktop/price.min.css-1,181",1,16,16,16,0.00,0.000%,62.50000,113.04,37.41,1852.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/stamp/all/segmentation.min.css-1,182",1,18,18,18,0.00,0.000%,55.55556,75.90,32.99,1399.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/product/ncard/desktop/ncard-hint.min.css-1,183",1,16,16,16,0.00,0.000%,62.50000,104.43,37.72,1711.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_lib/scss/colours.min.css-1,184",1,17,17,17,0.00,0.000%,58.82353,228.57,33.95,3979.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/product/color-flavor-size/desktop/color-flavor-size.min.css-1,185",1,24,24,24,0.00,0.000%,41.66667,98.71,25.92,2426.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/_behavior/loading/disabled-buttons/all/disabled-buttons.min.css-1,186",1,16,16,16,0.00,0.000%,62.50000,101.93,39.12,1670.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/product/call-to-action/all/call-to-action.min.css-1,187",1,15,15,15,0.00,0.000%,66.66667,137.89,40.82,2118.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/product/seller-info/desktop/seller-info.min.css-1,188",1,17,17,17,0.00,0.000%,58.82353,119.72,35.90,2084.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/search/quick-view/desktop/quick-view.min.css-1,189",1,16,16,16,0.00,0.000%,62.50000,167.66,37.96,2747.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_templates/product/ajax/desktop/showcase.min.css-1,190",1,16,16,16,0.00,0.000%,62.50000,110.84,37.48,1816.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_templates/countdown/countdown-pdp/desktop/countdown.min.css-1,191",1,28,28,28,0.00,0.000%,35.71429,74.32,21.83,2131.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/banner/html/desktop/banner-html.min.css-1,192",1,16,16,16,0.00,0.000%,62.50000,40.04,37.66,656.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/product/stamp-coupon-2/all/stamp-coupon.min.css-1,193",1,16,16,16,0.00,0.000%,62.50000,154.30,38.15,2528.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/product/emergency-trigger/emergency-trigger-show-stock/all/emergency-trigger-show-stock.min.css-1,194",1,16,16,16,0.00,0.000%,62.50000,97.96,41.08,1605.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/product/tell-me/all/tell-me.min.css-1,195",1,19,19,19,0.00,0.000%,52.63158,94.06,31.51,1830.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/refactoring-css/_components/product/shipping/desktop/shipping.min.css-1,196",1,52,52,52,0.00,0.000%,19.23077,48.57,11.62,2586.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_components/search/filters/filter-3/all/mini-search/mini-search.min.js-1,197",1,28,28,28,0.00,0.000%,35.71429,54.90,21.24,1574.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_templates/item/item-5/desktop/item.min.js-1,199",1,21,21,21,0.00,0.000%,47.61905,41.25,27.02,887.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_components/_behavior/lazy-load/all/lazy-loading-items.min.js-1,200",1,30,30,30,0.00,0.000%,33.33333,30.89,19.53,949.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_components/accordion/all/accordion.min.js-1,198",1,16,16,16,0.00,0.000%,62.50000,77.21,35.46,1265.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_components/free-delivery-2/all/free-delivery.min.js-1,201",1,17,17,17,0.00,0.000%,58.82353,77.55,33.95,1350.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_components/search/filters/filter-4/all/quick-filters/quick-filters.min.js-1,202",1,17,17,17,0.00,0.000%,58.82353,51.07,35.21,889.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_components/search/filters/filter-4/desktop/filter-4-preferences.min.js-1,203",1,16,16,16,0.00,0.000%,62.50000,312.38,37.23,5118.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_components/search/filters/filter-free-shipping/all/filter-free-shipping.min.js-1,204",1,21,21,21,0.00,0.000%,47.61905,60.31,28.74,1297.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_components/search/no-result-modal/all/no-result-modal.min.js-1,205",1,25,25,25,0.00,0.000%,40.00000,34.88,23.44,893.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_components/_behavior/wishlist/all/wishlist.min.js-1,206",1,16,16,16,0.00,0.000%,62.50000,102.97,35.95,1687.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_components/product/thumbs/desktop/thumbs.min.js-1,207",1,16,16,16,0.00,0.000%,62.50000,86.43,35.83,1416.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_templates/product/photo/photo-1/desktop/photo-1.min.js-1,209",1,16,16,16,0.00,0.000%,62.50000,44.74,36.25,733.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_lib/ns/breakpoint.min.js-1,208",1,22,22,22,0.00,0.000%,45.45455,33.25,25.04,749.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_components/product/ncard/all/ncard-hint.min.js-1,210",1,19,19,19,0.00,0.000%,52.63158,43.89,30.12,854.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_components/product/color-flavor-size/desktop/color-flavor-size.min.js-1,211",1,15,15,15,0.00,0.000%,66.66667,292.25,39.65,4489.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_components/_behavior/free-shipping/all/free-shipping-search.min.js-1,212",1,16,16,16,0.00,0.000%,62.50000,89.48,36.99,1466.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_components/_behavior/loading/disabled-buttons/all/disabled-buttons.min.js-1,213",1,36,36,36,0.00,0.000%,27.77778,21.76,16.63,802.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_components/search/quick-view/desktop/quick-view.min.js-1,214",1,16,16,16,0.00,0.000%,62.50000,115.42,36.25,1891.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_components/product/call-to-action/all/call-to-action.min.js-1,215",1,23,23,23,0.00,0.000%,43.47826,94.85,25.43,2234.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_components/_behavior/free-shipping/all/free-shipping-pdp.min.js-1,216",1,16,16,16,0.00,0.000%,62.50000,115.05,36.80,1885.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_templates/countdown/countdown-pdp/all/countdown.min.js-1,217",1,15,15,15,0.00,0.000%,66.66667,72.33,38.67,1111.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_templates/countdown/countdown-pdp/desktop/render-countdown.min.js-1,218",1,15,15,15,0.00,0.000%,66.66667,63.22,39.39,971.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_components/product/stamp-coupon-2/desktop/stamp-coupon.min.js-1,219",1,16,16,16,0.00,0.000%,62.50000,98.63,36.68,1616.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_components/product/tell-me/all/tell-me.min.js-1,221",1,16,16,16,0.00,0.000%,62.50000,72.94,35.71,1195.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_lib/vendor/vanilla-masker.min.js-1,222",1,16,16,16,0.00,0.000%,62.50000,124.51,34.91,2040.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_components/field-mask/all/field-mask.min.js-1,223",1,24,24,24,0.00,0.000%,41.66667,51.72,23.72,1271.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_components/product/shipping/desktop/shipping.min.js-1,224",1,16,16,16,0.00,0.000%,62.50000,251.46,36.07,4120.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_components/product/emergency-trigger/emergency-trigger-show-stock/all/emergency-trigger-show-stock.min.js-1,220",1,15,15,15,0.00,0.000%,66.66667,93.42,41.99,1435.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/js/_components/_behavior/lazy-load/all/lazy-price-items-new-ts.min.js-1,225",1,22,22,22,0.00,0.000%,45.45455,101.78,26.86,2293.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/images/ajax-loading.svg-1,226",1,16,16,16,0.00,0.000%,62.50000,72.20,35.40,1183.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/svg/magazineluiza.svg-1,227",1,17,17,17,0.00,0.000%,58.82353,150.56,33.20,2621.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/fonts/netshoesdisplay-black-webfont.woff-1,231",1,17,17,17,0.00,0.000%,58.82353,1508.50,30.50,26260.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /2.49.8/netshoesbr/fonts/source-sans/SourceSansPro-Regular.woff-1,230",1,35,35,35,0.00,0.000%,28.57143,3599.92,14.93,129021.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /jserrors/1/32cd0417b6?a=958391474&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MEwZTDVUPU1dSUhcLDA8Q&rst=755372&ck=1&ref=https://www.netshoes.com.br/recommendations-1,228",1,191,191,191,0.00,0.000%,5.23560,2.08,5.12,407.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /jserrors/1/32cd0417b6?a=958391474&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MEwZTDVUPU1dSUhcLDA8Q&rst=755455&ck=1&ref=https://www.netshoes.com.br/recommendations-1,229",1,176,176,176,0.00,0.000%,5.68182,2.26,5.55,407.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /c/hotjar-58506.js-1,232",1,83,83,83,0.00,0.000%,12.04819,33.57,4.73,2853.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /minicart-1,233",1,100,100,100,0.00,0.000%,10.00000,9.55,7.34,978.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /j/collect?v=1&_v=j98&a=683209870&t=pageview&_s=1&dl=https%3A%2F%2Fwww.netshoes.com.br%2Fbusca%2Finfantil-avengers%3Fgenero%3Dmenino%26genero%3Dmenina%26genero%3Dbebe-menino%26genero%3Dbebe-menina%26mi%3Dhm_ger_mntop_CR-PER-avengers%26psn%3DMenu_Top&dp=%2Fbusca%2Finfantil-avengers%3Fgenero%3Dmenino%2Cmenina%2Cbebe-menino%2Cbebe-menina%26mi%3Dhm_ger_mntop_CR-PER-avengers%26psn%3DMenu_Top%26searchTermCapitalized%3DInfantil%20Avengers%26nsCat%3DArtificial&ul=pt-br&de=UTF-8&dt=Menino%20-%20Compre%20J%C3%A1%20%7C%20Netshoes&sd=24-bit&sr=1680x1050&vp=1663x925&je=0&_utma=25886882.1390793279.1667239669.1667239846.1667247510.2&_utmz=25886882.1667239846.1.1.utmgclid%3DEAIaIQobChMIzvrJwYOL-wIV6hXUAR2dkg_1EAAYASAAEgIA2fD_BwE%7Cutmgclsrc%3Daw.ds%7Cutmccn%3D(not%2520set)%7Cutmcmd%3D(not%2520set)&_utmht=1667248259856&_u=AAECAAABSAAAiCAAI~&jid=1211511612&gjid=1749362322&cid=1390793279.1667239669&tid=UA-1776034-5&_gid=1792884466.1667239669&_r=1&_slc=1&cd16=%2Fbusca%2Finfantil-avengers&cd17=%2Fbusca%2Finfantil-avengers&cd18=&cd19=&cd22=198&cd23=https%3A%2F%2Fwww.netshoes.com.br%2F%3Fgclid%3DEAIaIQobChMIzvrJwYOL-wIV6hXUAR2dkg_1EAAYASAAEgIA2fD_BwE%26amp%3Bgclsrc%3Daw.ds&cd43=&z=683692163-1,234",1,68,68,68,0.00,0.000%,14.70588,8.98,23.71,625.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /adsid/integrator.js-1,237",1,111,111,111,0.00,0.000%,9.00901,6.91,3.77,785.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /adsid/integrator.js-1,236",1,110,110,110,0.00,0.000%,9.09091,10.02,3.84,1129.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /j/collect?t=dc&aip=1&_r=3&v=1&_v=j98&tid=UA-1776034-5&cid=1390793279.1667239669&jid=1211511612&gjid=1749362322&_gid=1792884466.1667239669&_u=AAECAAAASAAAiCAAI~&z=300439011-1,239",1,69,69,69,0.00,0.000%,14.49275,9.94,9.00,702.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /gampad/ads-1,238",1,115,115,115,0.00,0.000%,8.69565,13.12,13.68,1545.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /jserrors/1/32cd0417b6?a=853720371&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01M&rst=758513&ck=1&ref=https://www.netshoes.com.br/-1,240",1,183,183,183,0.00,0.000%,5.46448,2.17,7.32,407.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /events/1/32cd0417b6?a=853720371&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01M&rst=758524&ck=1&ref=https://www.netshoes.com.br/-1,241",1,185,185,185,0.00,0.000%,5.40541,2.15,4.07,407.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /bones-1,235",1,663,663,663,0.00,0.000%,1.50830,71.54,1.04,48569.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /ads/ga-audiences-1,242",1,72,72,72,0.00,0.000%,13.88889,9.20,7.36,678.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /ads/ga-audiences-1,243",1,102,102,102,0.00,0.000%,9.80392,6.49,5.23,678.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /minicart-1,244",1,77,77,77,0.00,0.000%,12.98701,12.56,9.27,990.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /j/collect?v=1&_v=j98&a=1460069144&t=pageview&_s=1&dl=https%3A%2F%2Fwww.netshoes.com.br%2Fbones%3Fgenero%3Dmenino%26genero%3Dmenina%26genero%3Dbebe-menino%26genero%3Dbebe-menina%26mi%3Dhm_ger_mntop_CR-ACE-bones%26psn%3DMenu_Top&dp=%2Fbones%3Fgenero%3Dmenino%2Cmenina%2Cbebe-menino%2Cbebe-menina%26mi%3Dhm_ger_mntop_CR-ACE-bones%26psn%3DMenu_Top%26nsCat%3DArtificial&ul=pt-br&de=UTF-8&dt=Bon%C3%A9s%20de%20Aba%20Reta%20ou%20Curva%20-%20Comprar%20em%20Oferta%20%7C%20Netshoes&sd=24-bit&sr=1680x1050&vp=1663x925&je=0&_utma=25886882.1390793279.1667239669.1667239846.1667247510.2&_utmz=25886882.1667239846.1.1.utmgclid%3DEAIaIQobChMIzvrJwYOL-wIV6hXUAR2dkg_1EAAYASAAEgIA2fD_BwE%7Cutmgclsrc%3Daw.ds%7Cutmccn%3D(not%2520set)%7Cutmcmd%3D(not%2520set)&_utmht=1667248263863&_u=AAECAAABSAAAiCAAI~&jid=&gjid=&cid=1390793279.1667239669&tid=UA-1776034-5&_gid=1792884466.1667239669&_slc=1&cd16=%2Fbones&cd17=%2Fbones&cd18=&cd19=&cd22=16&cd23=https%3A%2F%2Fwww.netshoes.com.br%2F%3Fgclid%3DEAIaIQobChMIzvrJwYOL-wIV6hXUAR2dkg_1EAAYASAAEgIA2fD_BwE%26amp%3Bgclsrc%3Daw.ds&cd43=&z=2003449914-1,245",1,109,109,109,0.00,0.000%,9.17431,5.58,13.75,623.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /produtos/sandalia-infantil-grendene-kids-marvel-hero-stickers-gaspea-baby-menino-/08/CDT-2021-008/CDT-2021-008_zoom1.jpg-1,247",1,75,75,75,0.00,0.000%,13.33333,75.74,8.88,5817.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /gtm/js-1,246",1,135,135,135,0.00,0.000%,7.40741,390.52,3.78,53986.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /produtos/tenis-infantil-marvel-homem-aranha-menino/96/Q58-0594-096/Q58-0594-096_zoom1.jpg-1,248",1,24,24,24,0.00,0.000%,41.66667,371.87,26.49,9139.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /produtos/tenis-infantil-marvel-homem-aranha-bolha-masculino/10/Q58-0270-010/Q58-0270-010_zoom1.jpg-1,250",1,16,16,16,0.00,0.000%,62.50000,618.23,40.28,10129.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /frdmprcsts/Q58-0371-006/lazy-1,251",1,25,25,25,0.00,0.000%,40.00000,23.20,30.16,594.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /frdmprcsts/CDT-2021-008/lazy-1,254",1,41,41,41,0.00,0.000%,24.39024,17.48,18.39,734.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /frdmprcsts/Q58-0594-096/lazy-1,253",1,15,15,15,0.00,0.000%,66.66667,38.61,50.26,593.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /produtos/tenis-marvel-capitao-america-menino/08/Q58-0593-008/Q58-0593-008_zoom1.jpg-1,255",1,16,16,16,0.00,0.000%,62.50000,549.62,39.37,9005.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /frdmprcsts/Q58-0270-010/lazy-1,257",1,22,22,22,0.00,0.000%,45.45455,33.03,34.27,744.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /frdmprcsts/Q58-0593-008/lazy-1,258",1,15,15,15,0.00,0.000%,66.66667,38.54,50.26,592.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /frdmprcsts/Q58-0635-016/lazy-1,256",1,15,15,15,0.00,0.000%,66.66667,47.27,50.26,726.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /adsid/integrator.js-1,259",1,115,115,115,0.00,0.000%,8.69565,10.89,3.67,1282.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /produtos/bone-infantil-nike-aba-curva-stapback-h86-cap-metal-swoosh/38/HZM-2917-038/HZM-2917-038_zoom1.jpg-1,261",1,23,23,23,0.00,0.000%,43.47826,178.46,27.47,4203.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /adsid/integrator.js-1,260",1,105,105,105,0.00,0.000%,9.52381,8.95,3.99,962.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /frdmprcsts/HZM-0775-036/lazy-1,262",1,20,20,20,0.00,0.000%,50.00000,15.23,36.67,312.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /produtos/bone-infantil-nike-aba-curva-featherlight/26/D12-2126-026/D12-2126-026_zoom1.jpg-1,263",1,17,17,17,0.00,0.000%,58.82353,372.87,36.19,6491.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /produtos/bone-infantil-nike-aba-curva-featherlight/28/D12-2126-028/D12-2126-028_zoom1.jpg-1,265",1,27,27,27,0.00,0.000%,37.03704,122.58,22.79,3389.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /produtos/bone-infantil-nike-y-pro-futura-4-snapback-aba-reta/36/HZM-0775-036/HZM-0775-036_zoom1.jpg-1,264",1,23,23,23,0.00,0.000%,43.47826,220.07,27.17,5183.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /frdmprcsts/HZM-2917-038/lazy-1,267",1,53,53,53,0.00,0.000%,18.86792,13.95,13.84,757.0
