Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /obgoOYObjIFea_bXuT6L4LbBJ8j425AD87S1HMD3BWg.9991.jpg-923,1,23,23,23,0.00,0.000%,43.47826,453.55,18.34,10682.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /jserrors/1/32cd0417b6?a=958391474&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MEwZTDVUPU1dSUhcLDA8Q&rst=8966994&ck=1&ref=https://www.netshoes.com.br/recommendations-929,1,223,223,223,0.00,0.000%,4.48430,1.78,4.38,407.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /bnn/l_netshoes/2022-03-18/4390_deal_desk3.jpg-918,1,15,15,15,0.00,0.000%,66.66667,219.53,34.18,3372.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /bnn/l_netshoes/2022-10-28/6681_flamengo.jpg-913,1,19,19,19,0.00,0.000%,52.63158,2209.50,26.88,42988.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /events/1/32cd0417b6?a=958391474&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MEwZTDVUPU1dSUhcLDA8Q&rst=8966992&ck=1&ref=https://www.netshoes.com.br/recommendations-927,1,186,186,186,0.00,0.000%,5.37634,2.14,3.53,407.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /jserrors/1/32cd0417b6?a=853720371&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01M&rst=8970185&ck=1&ref=https://www.netshoes.com.br/-930,1,188,188,188,0.00,0.000%,5.31915,2.11,4.64,407.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /recommendations-915,1,286,286,286,0.00,0.000%,3.49650,55.02,2.16,16114.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /jserrors/1/32cd0417b6?a=958391474&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MEwZTDVUPU1dSUhcLDA8Q&rst=8966980&ck=1&ref=https://www.netshoes.com.br/recommendations-931,1,180,180,180,0.00,0.000%,5.55556,2.21,5.43,407.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /tag/js/gpt.js-910,1,212,212,212,0.00,0.000%,4.71698,131.50,1.85,28546.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /g/collect?v=2&tid=G-NTVFCZ48DQ&cid=1390793279.1667239669&gtm=2oeaq0&aip=1-940,1,279,279,279,0.00,0.000%,3.58423,1.93,2.03,550.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /recommendations-909,1,235,235,235,0.00,0.000%,4.25532,66.90,2.65,16098.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /events/1/32cd0417b6?a=958391474&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MEwZTDVUPU1dSUhcLDA8Q&rst=8966976&ck=1&ref=https://www.netshoes.com.br/recommendations-932,1,188,188,188,0.00,0.000%,5.31915,2.11,3.49,407.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /events/1/32cd0417b6?a=853720371&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01M&rst=8970179&ck=1&ref=https://www.netshoes.com.br/-934,1,195,195,195,0.00,0.000%,5.12821,2.04,3.19,407.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /bnn/l_netshoes/2022-10-26/543_desk_mob.gif-914,1,88,88,88,0.00,0.000%,11.36364,1050.58,5.79,94670.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /bnn/l_netshoes/2022-10-27/765_desk_mob1.jpg-912,1,16,16,16,0.00,0.000%,62.50000,2013.00,31.92,32981.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /events/1/32cd0417b6?a=958391474&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MEwZTDVUPU1dSUhcLDA8Q&rst=8966988&ck=1&ref=https://www.netshoes.com.br/recommendations-941,1,194,194,194,0.00,0.000%,5.15464,2.05,3.38,407.0
