Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/firefox-desktop/metrics/1/170ffd89-5a71-4673-bf4b-c15bcc68c32c-80,1,353,353,353,0.00,0.000%,2.83286,1.72,11.97,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_components/search/filters/filter-free-shipping/all/filter-free-shipping.min.css-86,1,20,20,20,0.00,0.000%,50.00000,96.44,26.81,1975.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_components/search/no-result-modal/all/no-result-modal.min.css-87,1,14,14,14,0.00,0.000%,71.42857,130.72,37.04,1874.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_templates/product/photo/photo-1/desktop/photo-1.min.css-89,1,14,14,14,0.00,0.000%,71.42857,194.89,36.62,2794.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_components/product/thumbs/desktop/thumbs.min.css-92,1,15,15,15,0.00,0.000%,66.66667,119.08,33.72,1829.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_components/_behavior/wishlist/all/wishlist.min.css-91,1,27,27,27,0.00,0.000%,37.03704,46.44,18.81,1284.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_components/_behavior/lazy-load/all/lazy-price-items-template.min.css-90,1,14,14,14,0.00,0.000%,71.42857,112.58,37.53,1614.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_components/free-delivery/all/free-delivery.min.css-93,1,14,14,14,0.00,0.000%,71.42857,106.24,36.27,1523.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/firefox-desktop/pseudo-main/1/8dba52a5-0403-4da3-8b5a-b4405c04124f-88,1,250,250,250,0.00,0.000%,4.00000,2.42,5.54,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_components/product/price/desktop/price.min.css-94,1,14,14,14,0.00,0.000%,71.42857,129.26,35.99,1853.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_components/stamp/all/segmentation.min.css-95,1,14,14,14,0.00,0.000%,71.42857,97.59,35.64,1399.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_lib/scss/colours.min.css-97,1,25,25,25,0.00,0.000%,40.00000,155.51,19.30,3981.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_components/product/ncard/desktop/ncard-hint.min.css-96,1,14,14,14,0.00,0.000%,71.42857,119.35,36.34,1711.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_components/product/color-flavor-size/desktop/color-flavor-size.min.css-98,1,14,14,14,0.00,0.000%,71.42857,169.36,37.67,2428.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_components/_behavior/loading/disabled-buttons/all/disabled-buttons.min.css-101,1,14,14,14,0.00,0.000%,71.42857,116.56,37.95,1671.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_components/product/call-to-action/all/call-to-action.min.css-100,1,22,22,22,0.00,0.000%,45.45455,94.11,23.53,2120.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_templates/product/ajax/desktop/showcase.min.css-99,1,19,19,19,0.00,0.000%,52.63158,93.44,26.57,1818.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_components/product/seller-info/desktop/seller-info.min.css-102,1,14,14,14,0.00,0.000%,71.42857,145.44,36.83,2085.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_components/search/quick-view/desktop/quick-view.min.css-104,1,14,14,14,0.00,0.000%,71.42857,192.52,36.62,2760.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_templates/countdown/countdown-pdp/desktop/countdown.min.css-105,1,14,14,14,0.00,0.000%,71.42857,148.72,36.90,2132.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_components/banner/html/desktop/banner-html.min.css-106,1,14,14,14,0.00,0.000%,71.42857,45.76,36.27,656.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_components/product/stamp-coupon-2/all/stamp-coupon.min.css-107,1,13,13,13,0.00,0.000%,76.92308,189.90,39.66,2528.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/firefox-desktop/baseline/1/5fdead96-6bb8-47f0-9781-b5d4ad93f8f6-103,1,315,315,315,0.00,0.000%,3.17460,1.92,4.94,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_components/product/emergency-trigger/emergency-trigger-show-stock/all/emergency-trigger-show-stock.min.css-108,1,39,39,39,0.00,0.000%,25.64103,40.21,14.42,1606.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_lib/scss/ns-tooltip.min.css-109,1,14,14,14,0.00,0.000%,71.42857,118.86,34.67,1704.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_components/product/tell-me/all/tell-me.min.css-110,1,15,15,15,0.00,0.000%,66.66667,119.14,33.59,1830.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_components/product/shipping/desktop/shipping.min.css-111,1,19,19,19,0.00,0.000%,52.63158,133.02,26.83,2588.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/refactoring-css/_templates/media/all/chaordic.min.css-112,1,14,14,14,0.00,0.000%,71.42857,43.32,35.30,621.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/search/filters/filter-3/all/mini-search/mini-search.min.js-113,1,14,14,14,0.00,0.000%,71.42857,109.79,35.71,1574.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/accordion/all/accordion.min.js-114,1,14,14,14,0.00,0.000%,71.42857,88.24,33.76,1265.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_templates/item/item-5/desktop/item.min.js-115,1,14,14,14,0.00,0.000%,71.42857,62.71,33.76,899.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_lib/ns/vendorFacade.min.js-116,1,21,21,21,0.00,0.000%,47.61905,39.16,21.81,842.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/_behavior/lazy-load/all/lazy-loading-items.min.js-117,1,14,14,14,0.00,0.000%,71.42857,66.20,35.09,949.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/free-delivery-2/all/free-delivery.min.js-118,1,20,20,20,0.00,0.000%,50.00000,65.92,24.12,1350.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/search/filters/filter-4/all/quick-filters/quick-filters.min.js-119,1,15,15,15,0.00,0.000%,66.66667,57.88,33.59,889.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/search/filters/filter-4/desktop/filter-4-preferences.min.js-120,1,14,14,14,0.00,0.000%,71.42857,357.00,35.78,5118.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/search/no-result-modal/all/no-result-modal.min.js-121,1,14,14,14,0.00,0.000%,71.42857,62.29,35.09,893.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/search/filters/filter-free-shipping/all/filter-free-shipping.min.js-122,1,14,14,14,0.00,0.000%,71.42857,90.47,36.34,1297.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/_behavior/wishlist/all/wishlist.min.js-123,1,14,14,14,0.00,0.000%,71.42857,117.68,34.32,1687.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/product/thumbs/desktop/thumbs.min.js-124,1,21,21,21,0.00,0.000%,47.61905,65.85,22.79,1416.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_lib/ns/breakpoint.min.js-125,1,14,14,14,0.00,0.000%,71.42857,52.25,32.58,749.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_templates/product/photo/photo-1/desktop/photo-1.min.js-126,1,15,15,15,0.00,0.000%,66.66667,47.72,32.36,733.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/product/ncard/all/ncard-hint.min.js-127,1,29,29,29,0.00,0.000%,34.48276,28.76,16.47,854.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/product/color-flavor-size/desktop/color-flavor-size.min.js-128,1,83,83,83,0.00,0.000%,12.04819,52.82,6.02,4489.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/_behavior/loading/disabled-buttons/all/disabled-buttons.min.js-129,1,23,23,23,0.00,0.000%,43.47826,34.05,21.91,802.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/product/call-to-action/all/call-to-action.min.js-130,1,16,16,16,0.00,0.000%,62.50000,136.35,30.64,2234.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/search/quick-view/desktop/quick-view.min.js-131,1,20,20,20,0.00,0.000%,50.00000,92.33,24.27,1891.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/_behavior/free-shipping/all/free-shipping-search.min.js-132,1,22,22,22,0.00,0.000%,45.45455,65.07,22.59,1466.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/_behavior/free-shipping/all/free-shipping-pdp.min.js-133,1,19,19,19,0.00,0.000%,52.63158,96.89,26.01,1885.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_templates/countdown/countdown-pdp/all/countdown.min.js-134,1,20,20,20,0.00,0.000%,50.00000,54.25,24.27,1111.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_templates/countdown/countdown-pdp/desktop/render-countdown.min.js-135,1,15,15,15,0.00,0.000%,66.66667,63.22,33.07,971.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/product/stamp-coupon-2/desktop/stamp-coupon.min.js-136,1,49,49,49,0.00,0.000%,20.40816,32.21,10.04,1616.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/product/emergency-trigger/emergency-trigger-show-stock/all/emergency-trigger-show-stock.min.js-137,1,22,22,22,0.00,0.000%,45.45455,63.70,24.33,1435.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/form-validation/all/form-validation-facade.min.js-138,1,15,15,15,0.00,0.000%,66.66667,80.47,32.75,1236.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/form-validation/all/form-validation-core.min.js-139,1,15,15,15,0.00,0.000%,66.66667,165.82,32.62,2547.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/form-validation/all/form-validation-custom.min.js-140,1,17,17,17,0.00,0.000%,58.82353,117.99,28.89,2054.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_lib/vendor/validate.min.js-141,1,22,22,22,0.00,0.000%,45.45455,160.51,20.82,3616.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/product/tell-me/all/tell-me.min.js-142,1,32,32,32,0.00,0.000%,31.25000,36.47,14.89,1195.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_lib/vendor/vanilla-masker.min.js-143,1,15,15,15,0.00,0.000%,66.66667,132.81,30.92,2040.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/field-mask/all/field-mask.min.js-144,1,15,15,15,0.00,0.000%,66.66667,82.75,31.64,1271.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/product/shipping/desktop/shipping.min.js-145,1,17,17,17,0.00,0.000%,58.82353,236.67,28.38,4120.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/js/_components/_behavior/lazy-load/all/lazy-price-items-new-ts.min.js-146,1,30,30,30,0.00,0.000%,33.33333,74.64,16.54,2293.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/images/ajax-loading.svg-147,1,48,48,48,0.00,0.000%,20.83333,24.07,9.83,1183.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/fonts/netshoesdisplay-black-webfont.woff-148,1,16,16,16,0.00,0.000%,62.50000,1603.52,32.47,26272.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/svg/magazineluiza.svg-149,1,26,26,26,0.00,0.000%,38.46154,98.45,18.07,2621.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /minicart-151,1,82,82,82,0.00,0.000%,12.19512,11.65,7.79,978.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /produtos/coturno-tenis-bota-adventure-para-trabalho-e-trilhas/38/4BG-0027-138/4BG-0027-138_zoom1.jpg-152,1,16,16,16,0.00,0.000%,62.50000,721.80,34.42,11826.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /produtos/bota-all-star-converse-hi-chuck-taylor-feminino-masculino-unissex/16/D26-6212-016/D26-6212-016_zoom1.jpg-153,1,15,15,15,0.00,0.000%,66.66667,564.71,37.57,8674.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /produtos/tenis-all-sb-star-casual-cano-alto-camila-nicacio-lancamento-confortavel-bota/06/BC0-0080-006/BC0-0080-006_zoom1.jpg-154,1,17,17,17,0.00,0.000%,58.82353,858.46,33.84,14944.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /produtos/bota-coturno-feminina-cadarco-ziper-conforto-casual/06/QEJ-0100-006/QEJ-0100-006_zoom1.jpg-155,1,17,17,17,0.00,0.000%,58.82353,495.52,32.34,8626.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /gtm/js-150,1,138,138,138,0.00,0.000%,7.24638,382.01,3.45,53983.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /produtos/bota-all-star-converse-hi-chuck-taylor-feminino-masculino-unissex/06/D26-6212-006/D26-6212-006_zoom1.jpg-156,1,75,75,75,0.00,0.000%,13.33333,98.83,7.51,7590.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /produtos/tenis-all-sb-star-casual-cano-alto-camila-nicacio-lancamento-confortavel-bota/14/BC0-0080-014/BC0-0080-014_zoom1.jpg-157,1,23,23,23,0.00,0.000%,43.47826,572.18,25.01,13476.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /frdmprcsts/4BG-0027-138/lazy-158,1,15,15,15,0.00,0.000%,66.66667,47.92,43.88,736.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /frdmprcsts/QEJ-0100-006/lazy-160,1,22,22,22,0.00,0.000%,45.45455,38.62,29.92,870.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /frdmprcsts/D26-6212-016/lazy-159,1,20,20,20,0.00,0.000%,50.00000,38.04,32.91,779.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /frdmprcsts/D26-6212-006/lazy-163,1,17,17,17,0.00,0.000%,58.82353,44.75,38.72,779.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /frdmprcsts/BC0-0080-014/lazy-162,1,16,16,16,0.00,0.000%,62.50000,44.86,41.14,735.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /frdmprcsts/BC0-0080-006/lazy-161,1,17,17,17,0.00,0.000%,58.82353,42.22,38.72,735.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /2.49.11/netshoesbr/fonts/source-sans/SourceSansPro-Regular.woff-164,1,37,37,37,0.00,0.000%,27.02703,3403.29,14.15,128944.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /canonical.html-166,1,26,26,26,0.00,0.000%,38.46154,11.19,12.17,298.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /gampad/ads-165,1,115,115,115,0.00,0.000%,8.69565,11.36,12.10,1338.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /success.txt-167,1,23,23,23,0.00,0.000%,43.47826,9.17,13.84,216.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /success.txt-168,1,17,17,17,0.00,0.000%,58.82353,12.41,18.73,216.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /produtos/tenis-all-sb-star-casual-cano-alto-camila-nicacio-lancamento-confortavel-bota/06/BC0-0080-006/BC0-0080-006_zoom2.jpg-169,1,41,41,41,0.00,0.000%,24.39024,307.93,14.03,12928.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /adsid/integrator.js-170,1,125,125,125,0.00,0.000%,8.00000,7.77,3.35,995.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/firefox-desktop/metrics/1/37552a0b-9239-4afb-a6dc-2a3701dbf861-171,1,253,253,253,0.00,0.000%,3.95257,2.39,20.14,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/firefox-desktop/baseline/1/408a27d0-7f01-49ca-b165-f86913afa51a-172,1,249,249,249,0.00,0.000%,4.01606,2.43,5.72,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/firefox-desktop/metrics/1/958537fb-ed62-4505-8bd1-aefcaf578714-173,1,212,212,212,0.00,0.000%,4.71698,2.86,14.93,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/firefox-desktop/baseline/1/d6b3ec17-e4bb-44c1-ba31-310999456f2c-174,1,228,228,228,0.00,0.000%,4.38596,2.66,6.92,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/firefox-desktop/pseudo-main/1/43fbedab-8047-40de-8114-62b1b70b194b-175,1,244,244,244,0.00,0.000%,4.09836,2.48,10.06,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/firefox-desktop/pseudo-main/1/f50674d5-4832-4225-b4cf-fe52a1d6ddbc-176,1,261,261,261,0.00,0.000%,3.83142,2.32,9.27,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/firefox-desktop/pseudo-main/1/60f2a8ae-1c22-40ca-8dcd-7a943c6874f5-177,1,246,246,246,0.00,0.000%,4.06504,2.46,10.49,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/firefox-desktop/baseline/1/dd892842-b9a2-412d-b5d5-c2fc4c493f77-178,1,257,257,257,0.00,0.000%,3.89105,2.36,5.95,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/firefox-desktop/events/1/25a3af2f-0675-40ad-9869-1bb310cd9fd6-179,1,215,215,215,0.00,0.000%,4.65116,2.82,7.13,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /metadata-182,1,46,46,46,0.00,0.000%,21.73913,43.05,70.52,2028.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /1/32cd0417b6-180,1,243,243,243,0.00,0.000%,4.11523,2.51,3.85,625.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/firefox-desktop/metrics/1/bf3083c6-8462-44b7-9efc-8c20b4fd6522-181,1,251,251,251,0.00,0.000%,3.98406,2.41,53.75,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/firefox-desktop/baseline/1/161615da-be27-465d-bb53-1e9570a5ce41-183,1,402,402,402,0.00,0.000%,2.48756,1.51,3.86,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /collect-501,1,38,38,38,0.00,0.000%,26.31579,15.47,35.18,602.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /collect-502,1,15,15,15,0.00,0.000%,66.66667,39.19,90.82,602.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /jserrors/1/32cd0417b6?a=853720371&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MAxZDAVlNDEgJ&rst=780197&ck=1&ref=https://www.netshoes.com.br/busca-504,1,184,184,184,0.00,0.000%,5.43478,2.16,9.53,407.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /tr/-505,1,29,29,29,0.00,0.000%,34.48276,12.93,105.13,384.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /busca-503,1,23,23,23,0.00,0.000%,43.47826,4677.27,25.09,110159.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /g/collect?v=2&tid=G-BWE3Z3GKD7&gtm=2oeb20&_p=515852280&cid=408799580.1667825749&ul=pt-br&sr=1680x1050&_s=3&uid=&sid=1667824859&sct=1&seg=1&dl=https%3A%2F%2Fwww.netshoes.com.br%2Fbusca%3FnsCat%3DNatural%26q%3Dbotas%2Bfeminino&dr=https%3A%2F%2Fwww.netshoes.com.br%2F&dt=Botas%20Feminino%20-%20Compre%20Online%20%7C%20Netshoes&en=user_engagement&_et=157820-507,1,101,101,101,0.00,0.000%,9.90099,5.32,8.28,550.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /actionp/0?ti=4033370&Ver=2&mid=1e37b511-d282-4166-9fca-c7b957c21bd6&sid=822e81005e9b11edbfef31cfceffba5f&vid=822ecb305e9b11edb2fced28d1475eaf&vids=0&msclkid=N&evt=pageHide-506,1,229,229,229,0.00,0.000%,4.36681,3.48,2.84,816.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /events/1/32cd0417b6?a=853720371&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MAxZDAVlNDEgJ&rst=781546&ck=1&ref=https://www.netshoes.com.br/busca-508,1,201,201,201,0.00,0.000%,4.97512,1.98,3.17,407.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /events/1/32cd0417b6?a=853720371&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MAxZDAVlNDEgJ&rst=781554&ck=1&ref=https://www.netshoes.com.br/busca-509,1,187,187,187,0.00,0.000%,5.34759,2.13,5.58,407.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /jserrors/1/32cd0417b6?a=853720371&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MAxZDAVlNDEgJ&rst=781547&ck=1&ref=https://www.netshoes.com.br/busca-510,1,187,187,187,0.00,0.000%,5.34759,2.13,4.85,407.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /c/hotjar-58506.js-511,1,82,82,82,0.00,0.000%,12.19512,33.97,4.79,2852.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /minicart-512,1,51,51,51,0.00,0.000%,19.60784,18.96,12.54,990.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /j/collect?v=1&_v=j98&a=487131522&t=pageview&_s=1&dl=https%3A%2F%2Fwww.netshoes.com.br%2Fbusca%3FnsCat%3DNatural%26q%3Dbotas%2Bmasculino&dp=%2Fbusca%3FnsCat%3DNatural%26q%3Dbotas%20masculino%26searchTermCapitalized%3DBotas%20Masculino&ul=pt-br&de=UTF-8&dt=Botas%20Masculino%20-%20Compre%20Online%20%7C%20Netshoes&sd=24-bit&sr=1680x1050&vp=1663x925&je=0&_utma=25886882.408799580.1667825749.1667825754.1667825754.1&_utmz=25886882.1667825754.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)&_utmht=1667826580534&_u=AAECAAABSAAAACAAI~&jid=&gjid=&cid=408799580.1667825749&tid=UA-1776034-5&_gid=2117361916.1667825749&_slc=1&cd16=%2Fbusca&cd17=%2Fbusca&cd18=&cd19=&cd22=18895&cd23=https%3A%2F%2Fwww.netshoes.com.br%2Fbusca%3FnsCat%3DNatural%26amp%3Bq%3Dbotas%2Bfeminino&cd43=&z=1973653894-513,1,71,71,71,0.00,0.000%,14.08451,8.57,17.29,623.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /metadata-514,1,41,41,41,0.00,0.000%,24.39024,48.57,79.41,2039.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /adsid/integrator.js-516,1,96,96,96,0.00,0.000%,10.41667,9.35,4.36,919.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /adsid/integrator.js-515,1,81,81,81,0.00,0.000%,12.34568,15.93,5.21,1321.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /produtos/bota-advententure-masculino-coturno/06/0DL-0398-006/0DL-0398-006_zoom1.jpg-517,1,27,27,27,0.00,0.000%,37.03704,419.34,19.82,11594.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /produtos/bota-coturno-adventure-masculina-970-tratorada-cano-baixo/06/EZJ-0328-006/EZJ-0328-006_zoom1.jpg-522,1,17,17,17,0.00,0.000%,58.82353,486.79,32.74,8474.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /produtos/bota-masculina-coturno-masculino-adventure-confortavel/06/4W9-0123-006/4W9-0123-006_zoom1.jpg-521,1,16,16,16,0.00,0.000%,62.50000,707.52,34.61,11592.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /produtos/bota-coturno-masculina-urbano-cadarco-dia-a-dia-leve/06/5TI-0010-006/5TI-0010-006_zoom1.jpg-520,1,23,23,23,0.00,0.000%,43.47826,279.81,23.99,6590.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /getconfig/sodar-519,1,94,94,94,0.00,0.000%,10.63830,122.21,4.95,11763.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /frdmprcsts/0DL-0398-006/lazy-525,1,30,30,30,0.00,0.000%,33.33333,19.43,21.97,597.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /frdmprcsts/4W9-0123-006/lazy-528,1,24,24,24,0.00,0.000%,41.66667,27.47,27.47,675.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /frdmprcsts/5TI-0010-006/lazy-527,1,16,16,16,0.00,0.000%,62.50000,49.99,41.20,819.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /produtos/coturno-masculino-bota-militar-motociclista-couro-cano-curto-sf-outlet/04/2YM-0150-004/2YM-0150-004_zoom1.jpg-526,1,19,19,19,0.00,0.000%,52.63158,546.67,29.97,10636.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /produtos/bota-adventure-masculina-coturno-motociclista-trilha/06/7FR-0000-006/7FR-0000-006_zoom1.jpg-524,1,17,17,17,0.00,0.000%,58.82353,456.69,32.46,7950.0
